## Op ID: 5 (OP-1774898074690)

### Filas de personal: 22
  id=2 apodo=Torres rol_op=CUT grupo=null flotilla=null
  id=4 apodo=López rol_op=CET grupo=a flotilla=asda
  id=4 apodo=López rol_op=CET grupo=b flotilla=asda
  id=5 apodo=Vega rol_op=CET grupo=r flotilla=we
  id=5 apodo=Vega rol_op=CET grupo=e flotilla=we
  id=8 apodo=Cruz rol_op=CELL grupo=a flotilla=asda
  id=8 apodo=Cruz rol_op=CELL grupo=null flotilla=null
  id=8 apodo=Cruz rol_op=CELL grupo=null flotilla=null
  id=9 apodo=Gómez rol_op=CELL grupo=b flotilla=asda
  id=9 apodo=Gómez rol_op=CELL grupo=null flotilla=null
  id=10 apodo=Flores rol_op=CELL grupo=b flotilla=asda
  id=10 apodo=Flores rol_op=CELL grupo=null flotilla=null
  id=14 apodo=Navarro rol_op=CELL grupo=r flotilla=we
  id=14 apodo=Navarro rol_op=CELL grupo=null flotilla=null
  id=16 apodo=Castillo rol_op=CELL grupo=a flotilla=asda
  id=16 apodo=Castillo rol_op=CELL grupo=null flotilla=null
  id=18 apodo=Pérez rol_op=CELL grupo=e flotilla=we
  id=18 apodo=Pérez rol_op=CELL grupo=null flotilla=null
  id=19 apodo=Ortega rol_op=CELL grupo=r flotilla=we
  id=19 apodo=Ortega rol_op=CELL grupo=null flotilla=null
  id=21 apodo=Pérez 2 rol_op=CELL grupo=e flotilla=we
  id=21 apodo=Pérez 2 rol_op=CELL grupo=null flotilla=null

### grupo_personal RAW (12 filas)
  P4 López → grupo a
  P8 Cruz → grupo a
  P16 Castillo → grupo a
  P4 López → grupo b
  P9 Gómez → grupo b
  P10 Flores → grupo b
  P5 Vega → grupo e
  P18 Pérez → grupo e
  P21 Pérez 2 → grupo e
  P5 Vega → grupo r
  P14 Navarro → grupo r
  P19 Ortega → grupo r

### grupo_vehiculo (0 filas)
